=== checkpoint start：config跑法見PERF_LADDER/PERF_TICKS env，teams=101 ===
tick=0 dt_us=73 wall_so_far=0.0s teams=101
tick=3129 dt_us=38597907 wall_so_far=2673.3s teams=200
tick=3139 dt_us=21910283 wall_so_far=2695.2s teams=201
tick=3149 dt_us=16701470 wall_so_far=2711.9s teams=201
tick=3159 dt_us=9436882 wall_so_far=2721.3s teams=201
tick=3169 dt_us=5989106 wall_so_far=2727.3s teams=201
tick=3179 dt_us=4448752 wall_so_far=2731.8s teams=201
tick=3189 dt_us=14395546 wall_so_far=2746.2s teams=200
tick=3199 dt_us=14949996 wall_so_far=2761.1s teams=199
tick=3209 dt_us=11109354 wall_so_far=2772.2s teams=199
tick=3219 dt_us=11493126 wall_so_far=2783.7s teams=199
tick=3229 dt_us=10691640 wall_so_far=2794.4s teams=197
tick=3239 dt_us=7639197 wall_so_far=2802.1s teams=198
tick=3249 dt_us=28675969 wall_so_far=2830.7s teams=198
tick=3259 dt_us=15449342 wall_so_far=2846.2s teams=198
tick=3269 dt_us=11523002 wall_so_far=2857.7s teams=197
tick=3279 dt_us=10451563 wall_so_far=2868.2s teams=197
tick=3289 dt_us=10409243 wall_so_far=2878.6s teams=198
tick=3299 dt_us=13672482 wall_so_far=2892.2s teams=197
tick=3309 dt_us=5538138 wall_so_far=2897.8s teams=198
tick=3319 dt_us=9463063 wall_so_far=2907.2s teams=197
tick=3329 dt_us=9823466 wall_so_far=2917.1s teams=197
tick=3339 dt_us=4419256 wall_so_far=2921.5s teams=197
tick=3349 dt_us=8075508 wall_so_far=2929.6s teams=197
tick=3359 dt_us=15374188 wall_so_far=2944.9s teams=198
tick=3369 dt_us=38549898 wall_so_far=2983.5s teams=198
tick=3379 dt_us=21437281 wall_so_far=3004.9s teams=198
tick=3389 dt_us=15696428 wall_so_far=3020.6s teams=198
tick=3399 dt_us=13195941 wall_so_far=3033.8s teams=199
tick=3409 dt_us=9619154 wall_so_far=3043.4s teams=197
tick=3419 dt_us=7610339 wall_so_far=3051.0s teams=197
tick=3429 dt_us=9198996 wall_so_far=3060.2s teams=198
tick=3439 dt_us=15880535 wall_so_far=3076.1s teams=199
tick=3449 dt_us=9917954 wall_so_far=3086.0s teams=198
tick=3459 dt_us=10047857 wall_so_far=3096.1s teams=198
tick=3469 dt_us=9661722 wall_so_far=3105.8s teams=198
tick=3479 dt_us=8355150 wall_so_far=3114.1s teams=199
tick=3489 dt_us=21096814 wall_so_far=3135.2s teams=199
tick=3499 dt_us=29490437 wall_so_far=3164.7s teams=199
tick=3500 dt_us=49 wall_so_far=3164.7s teams=199
tick=3509 dt_us=16029317 wall_so_far=3180.7s teams=199
tick=3519 dt_us=12153171 wall_so_far=3192.9s teams=201
tick=3529 dt_us=7739600 wall_so_far=3200.6s teams=201
tick=3539 dt_us=5027303 wall_so_far=3205.7s teams=202
tick=3549 dt_us=5586808 wall_so_far=3211.2s teams=202
tick=3559 dt_us=8529207 wall_so_far=3219.8s teams=201
tick=3569 dt_us=11672151 wall_so_far=3231.4s teams=201
tick=3579 dt_us=8798172 wall_so_far=3240.2s teams=202
tick=3589 dt_us=9137824 wall_so_far=3249.4s teams=202
tick=3599 dt_us=13014294 wall_so_far=3262.4s teams=202
tick=3609 dt_us=42234813 wall_so_far=3304.6s teams=206
tick=3619 dt_us=22974339 wall_so_far=3327.6s teams=206
tick=3629 dt_us=13818640 wall_so_far=3341.4s teams=204
tick=3639 dt_us=9903006 wall_so_far=3351.3s teams=205
tick=3649 dt_us=11356755 wall_so_far=3362.7s teams=205
tick=3659 dt_us=8751579 wall_so_far=3371.4s teams=206
tick=3669 dt_us=9060720 wall_so_far=3380.5s teams=205
tick=3679 dt_us=14679494 wall_so_far=3395.2s teams=204
tick=3689 dt_us=5880541 wall_so_far=3401.1s teams=202
tick=3699 dt_us=14771325 wall_so_far=3415.8s teams=202
tick=3709 dt_us=11581675 wall_so_far=3427.4s teams=200
tick=3719 dt_us=10430427 wall_so_far=3437.8s teams=203
tick=3729 dt_us=24213256 wall_so_far=3462.1s teams=204
tick=3739 dt_us=12779995 wall_so_far=3474.8s teams=202
tick=3749 dt_us=8310198 wall_so_far=3483.1s teams=202
tick=3759 dt_us=14073292 wall_so_far=3497.2s teams=202
tick=3769 dt_us=6919007 wall_so_far=3504.1s teams=203
tick=3779 dt_us=3002501 wall_so_far=3507.1s teams=204
tick=3789 dt_us=7866518 wall_so_far=3515.0s teams=205
tick=3799 dt_us=11632878 wall_so_far=3526.6s teams=204
tick=3809 dt_us=8217413 wall_so_far=3534.9s teams=203
tick=3819 dt_us=8666523 wall_so_far=3543.5s teams=203
tick=3829 dt_us=12131081 wall_so_far=3555.7s teams=203
tick=3839 dt_us=13602743 wall_so_far=3569.3s teams=202
