=== 消失隊死前鎖點（僅印曾被記錄=曾瀕死的） ===
--- team=-1000030 死前軌跡（最近 100 筆瀕死快照） ---
    tick=54399 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54492 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54493 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54494 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54495 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54496 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54497 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54498 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    ★死因分類=food-ok-vanish（food_days=0.00 足、無 stuck 徵兆＝疑 merge/combat/absorb 非餓死）（死前無 stall_exclude fire）
--- team=-1000029 死前軌跡（最近 100 筆瀕死快照） ---
    tick=51199 task=idle prio=0 reason= combat_target=3 option= food_days=0.00 pop=1 famine_days=0.0 tile=(24, 10) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51200 task=idle prio=0 reason= combat_target=3 option= food_days=0.00 pop=1 famine_days=0.0 tile=(24, 10) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51201 task=idle prio=0 reason= combat_target=3 option= food_days=0.00 pop=1 famine_days=0.0 tile=(24, 10) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51202 task=idle prio=0 reason= combat_target=3 option= food_days=0.00 pop=1 famine_days=0.0 tile=(24, 10) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51203 task=idle prio=0 reason= combat_target=3 option= food_days=0.00 pop=1 famine_days=0.0 tile=(24, 10) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51204 task=idle prio=0 reason= combat_target=3 option= food_days=0.00 pop=1 famine_days=0.0 tile=(24, 10) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51205 task=idle prio=0 reason= combat_target=3 option= food_days=0.00 pop=1 famine_days=0.0 tile=(24, 10) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51206 task=idle prio=0 reason= combat_target=3 option= food_days=0.00 pop=1 famine_days=0.0 tile=(24, 10) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51207 task=idle prio=0 reason= combat_target=3 option= food_days=0.00 pop=1 famine_days=0.0 tile=(24, 10) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51208 task=idle prio=0 reason= combat_target=3 option= food_days=0.00 pop=1 famine_days=0.0 tile=(24, 10) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51209 task=idle prio=0 reason= combat_target=3 option= food_days=0.00 pop=1 famine_days=0.0 tile=(24, 10) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51210 task=idle prio=0 reason= combat_target=3 option= food_days=0.00 pop=1 famine_days=0.0 tile=(24, 10) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51211 task=idle prio=0 reason= combat_target=3 option= food_days=0.00 pop=1 famine_days=0.0 tile=(24, 10) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51212 task=idle prio=0 reason= combat_target=3 option= food_days=0.00 pop=1 famine_days=0.0 tile=(24, 10) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=51213 task=idle prio=0 reason= combat_target=3 option= food_days=0.00 pop=1 famine_days=0.0 tile=(24, 10) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
