=== 消失隊死前鎖點（僅印曾被記錄=曾瀕死的） ===
--- team=-1000034 死前軌跡（最近 100 筆瀕死快照） ---
    tick=56799 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56859 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56860 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56861 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56862 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56863 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56864 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56865 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56866 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56867 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56868 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56869 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56870 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56871 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56872 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56873 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56874 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56875 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56876 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=56877 task=idle prio=0 reason= combat_target=12 option= food_days=0.00 pop=1 famine_days=0.0 tile=(2, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
