=== 消失隊死前鎖點（僅印曾被記錄=曾瀕死的） ===
--- team=-1000027 死前軌跡（最近 100 筆瀕死快照） ---
    tick=52999 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53049 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53050 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53051 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53052 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53053 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53054 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53055 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53056 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53057 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53058 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53059 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53060 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53061 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53062 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53063 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53064 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53065 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53066 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53067 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53068 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53069 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=53070 task=idle prio=0 reason= combat_target=89 option= food_days=0.00 pop=1 famine_days=0.0 tile=(13, 16) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
